,Brand_id,image_link
94,34,https://image.hm.com/assets/hm/bf/f1/bff1f250e58816ee1202f0e8e2dc820121ab89ef.jpg?imwidth=2160
95,34,https://image.hm.com/assets/hm/76/90/76909cdd793f6162554cec671a046b29bb71118f.jpg?imwidth=2160
96,35,https://image.hm.com/assets/hm/37/18/37182914a4909cd9789a3cc9927175de640bc46a.jpg?imwidth=2160
97,35,https://image.hm.com/assets/hm/3c/df/3cdfb0da024579bfd78b45fc4b185b1b74241987.jpg?imwidth=2160
98,36,https://image.hm.com/assets/hm/a2/3d/a23dab7eef159ad357cc5499e36546cbd889b7ad.jpg?imwidth=2160
99,36,https://image.hm.com/assets/hm/f5/5a/f55adedb00126ebdcc390f986c1750000ae3398e.jpg?imwidth=2160
100,37,https://image.hm.com/assets/hm/26/c0/26c01003d69213dabd5bd7cb74b06639952c1034.jpg?imwidth=2160
101,37,https://image.hm.com/assets/hm/63/08/6308486c2d1d10253ec1c4e74d379b35e337b4d1.jpg?imwidth=2160
102,38,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67085722_88_R.jpg?imwidth=2048&imdensity=1&ts=1715934836078
103,38,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67085722_88_D8.jpg?imwidth=2048&imdensity=1&ts=1702285395203
104,38,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67085722_88_B.jpg?imwidth=2048&imdensity=1&ts=1702285395203
105,39,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67046320_37_R.jpg?imwidth=2048&imdensity=1&ts=1707472987889
106,39,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67046320_37_D8.jpg?imwidth=2048&imdensity=1&ts=1706632395332
107,39,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67046320_37_B.jpg?imwidth=2048&imdensity=1&ts=1706632395332
108,40,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67054046_02_R.jpg?imwidth=2048&imdensity=1&ts=1706261699916
109,40,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67054046_02_D8.jpg?imwidth=2048&imdensity=1&ts=1701419622999
110,40,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67054046_02_B.jpg?imwidth=2048&imdensity=1&ts=1701419622999
111,41,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67047111_01_R.jpg?imwidth=2048&imdensity=1&ts=1710407388128
112,41,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67047111_01_D8.jpg?imwidth=2048&imdensity=1&ts=1709139813313
113,41,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67047111_01_B.jpg?imwidth=2048&imdensity=1&ts=1709139813313
114,42,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080365_70_R.jpg?imwidth=2048&imdensity=1&ts=1712569431753
115,42,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080365_70_D8.jpg?imwidth=2048&imdensity=1&ts=1711555905998
116,42,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080365_70_B.jpg?imwidth=2048&imdensity=1&ts=1711555905998
117,43,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080345_02_R.jpg?imwidth=2048&imdensity=1&ts=1712225430513
118,43,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080345_02_D8.jpg?imwidth=2048&imdensity=1&ts=1711555905998
119,43,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080345_02_B.jpg?imwidth=2048&imdensity=1&ts=1711555905998
120,44,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67056341_88_R.jpg?imwidth=2048&imdensity=1&ts=1708688004321
121,44,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67056341_88_D8.jpg?imwidth=2048&imdensity=1&ts=1706182415882
122,44,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67056341_88_B.jpg?imwidth=2048&imdensity=1&ts=1706182415882
123,45,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030437_01_R.jpg?imwidth=2048&imdensity=1&ts=1706261699916
124,45,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030437_01_D8.jpg?imwidth=2048&imdensity=1&ts=1697623377637
125,45,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030437_01_B.jpg?imwidth=2048&imdensity=1&ts=1697623377637
126,46,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084036_10_R.jpg?imwidth=2048&imdensity=1&ts=1705673013310
127,46,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084036_10_D8.jpg?imwidth=2048&imdensity=1&ts=1704882935245
128,46,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084036_10_B.jpg?imwidth=2048&imdensity=1&ts=1704882935245
129,47,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017125_05_R.jpg?imwidth=2048&imdensity=1&ts=1711110860282
130,47,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017125_05_D8.jpg?imwidth=2048&imdensity=1&ts=1709049817612
131,47,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017125_05_B.jpg?imwidth=2048&imdensity=1&ts=1709049817612
132,48,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67069233_43_R.jpg?imwidth=2048&imdensity=1&ts=1716278764561
133,48,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67069233_43_D8.jpg?imwidth=2048&imdensity=1&ts=1712049031476
134,48,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67069233_43_B.jpg?imwidth=2048&imdensity=1&ts=1712049031476
135,49,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67010439_99_R.jpg?imwidth=2048&imdensity=1&ts=1707319995242
136,49,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67010439_99_D8.jpg?imwidth=2048&imdensity=1&ts=1707147263571
137,49,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67010439_99_B.jpg?imwidth=2048&imdensity=1&ts=1707147263571
138,50,https://shop.mango.com/assets/rcs/pics/static/T5/fotos/S/57013819_52_R.jpg?imwidth=2048&imdensity=1&ts=1688482970349
139,50,https://shop.mango.com/assets/rcs/pics/static/T5/fotos/S/57013819_52_D8.jpg?imwidth=2048&imdensity=1&ts=1684485381886
140,50,https://shop.mango.com/assets/rcs/pics/static/T5/fotos/S/57013819_52_B.jpg?imwidth=2048&imdensity=1&ts=1684485381886
141,51,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060265_99_R.jpg?imwidth=2048&imdensity=1&ts=1714129985148
142,51,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060265_99_D8.jpg?imwidth=2048&imdensity=1&ts=1713877624444
143,51,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060265_99_B.jpg?imwidth=2048&imdensity=1&ts=1713877624444
144,52,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67037137_05_R.jpg?imwidth=2048&imdensity=1&ts=1710871817956
145,52,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67037137_05_D8.jpg?imwidth=2048&imdensity=1&ts=1710236842596
146,52,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67037137_05_B.jpg?imwidth=2048&imdensity=1&ts=1710236842596
147,53,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67016323_02_R.jpg?imwidth=2048&imdensity=1&ts=1707838458506
148,53,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67016323_02_D8.jpg?imwidth=2048&imdensity=1&ts=1707147263571
149,53,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67016323_02_B.jpg?imwidth=2048&imdensity=1&ts=1707147263571
150,54,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017124_05_R.jpg?imwidth=2048&imdensity=1&ts=1710169679375
151,54,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017124_05_D8.jpg?imwidth=2048&imdensity=1&ts=1709903645822
152,54,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67017124_05_B.jpg?imwidth=2048&imdensity=1&ts=1709903645822
153,55,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030436_98_R.jpg?imwidth=2048&imdensity=1&ts=1709030014582
154,55,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030436_98_D8.jpg?imwidth=2048&imdensity=1&ts=1697205807907
155,55,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67030436_98_B.jpg?imwidth=2048&imdensity=1&ts=1697205807907
156,56,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67008648_02_R.jpg?imwidth=2048&imdensity=1&ts=1712076132222
157,56,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67008648_02_D8.jpg?imwidth=2048&imdensity=1&ts=1710243577127
158,56,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67008648_02_B.jpg?imwidth=2048&imdensity=1&ts=1710243577127
159,57,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084070_05_R.jpg?imwidth=2048&imdensity=1&ts=1704987194279
160,57,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084070_05_D8.jpg?imwidth=2048&imdensity=1&ts=1704807191540
161,57,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67084070_05_B.jpg?imwidth=2048&imdensity=1&ts=1704807191540
